type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
stm,90018,Germany: Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90020,Italy: Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90021,Japan: Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90022,Latin America: Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90023,Spain: Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90273,Core subjects (Business),48,,,,,,,,,,,,,,,,
stm,90506,Latino USA: Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90507,Quebec: Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90508,Switzerland (French): Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90509,Switzerland (German): Specialist Country Studies stream,,,,,,,,,,,,,,,,,
stm,90651,Core subjects (Information Technology),,,,,,,,,,,,,,,,,
stm,90691,Law Stream,,,,,,,,,,,,,,,,,
stm,90832,Core (Law),,,,,,,,,,,,,,,,,
stm,90839,Core subjects (Creative Intelligence and Innovation),,,,,,,,,,,,,,,,,
stm,90990,IT Work Integrated Learning Prog,,,,,,,,,,,,,,,,,
stm,91157,Work Integrated Learning,,,,,,,,,,,,,,,,,
stm,91158,Core subjects (Information Technology),,,,,,,,,,,,,,,,,
stm,91172,Core Honours subjects (Computing Science),,,,,,,,,,,,,,,,,
stm,91173,Core subjects (Computing Science),,,,,,,,,,,,,,,,,
stm,91303,Core subjects (Games Development),,,,,,,,,,,,,,,,,
stm,91314,China: International Studies stream,,,,,,,,,,,,,,,,,
stm,91315,France: International Studies stream,,,,,,,,,,,,,,,,,
stm,91316,Germany: International Studies stream,,,,,,,,,,,,,,,,,
stm,91317,Italy: International Studies stream,,,,,,,,,,,,,,,,,
